REGISTRO N§;FECHA;HORA;DESCRIPCION (Vehiculo / Moto);DOMINIO;MARCA;MODELO;COLOR;TIPO;CHASIS N§;MOTOR N§;LEVANTADO EN :;AGENTE DE PLAYA QUE RECIBIO;GRUA / CHOFER;INVENTARIO SI/NO;NUMERO DE RECLAMO ;FECHA;HORA;GRUA/CHOFER;ENTREGA AGENTE;NOTAS;CONTROL DE LEGALES;
310;08/05/2015;16:30;SI;TWN069;FORD;SIERRA;GRIS;PARTICULAR;S/D;S/D;AV. SAENZ 366;GATICA;TAPIA;SI;PARA COMPACTAR;05/08/2015;11:15;DOMINGUEZ (CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
311;09/05/2015;01:12;SI;S/PLACA;RENAULT;TORINO;AZUL;PARTICULAR;S/D;S/D;S/D;BERARDI-BRAGUE;VELAZQUEZ;SI;;12/05/2015;17:15;CABRERIZO CACTYT;CABRERIZO;TRASLADO A HERRERA;;
312;10/05/2015;12:00;SI;S/PLACA;DODGE;1500;VERDE;PARTICULAR;S/D;S/D;;ACAQUACALDA;ALAMINO ;SI;;21/07/2015;11.00;MAIDANA CACTYT;PLATAS/APES/CARRILLO;TRASLADO A HERRERA;;
313;11/05/2015;09:35;SI;WIL945;CITROEN;;NARANJA;PARTICULAR;S/D;S/D;ARRIBE¥OS 3321;MORENO-PLATAS-AYESTARAN;ACOSTA;SI;;02/07/2015;10:11;MAIDANA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
314;11/05/2015;10:50;SI;S/PLACA;FORD;ESCORT;CELESTE;PARTICULAR;S/D;S/D;SAENZ 384;MORENO-PLATAS-AYESTARAN;MAIDANA;SI;;13/05/2015;12:15;ACOSTA CACTYT;MORENO-PLATAS-AYESTARAN;TRASLADO A HERRERA;;
315;11/05/2015;12:00;SI;TCB478;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;FURNIER Y CORRALES;MORENO-PLATAS-AYESTARAN;ACOSTA;SI;;02/07/2015;11:16;MAIDANA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
316;11/05/2015;10:15;SI;S/PLACA;FORD;WINDSTAR;GRIS;PARTICULAR;S/D;S/D;EMILIO CASTRO 5227;MORENO-PLATAS-AYESTARAN;MAIDANA;SI;;04/06/2015;11:00;DOMINGUEZ NTN 852 CACTYT;MORENO-PLATAS;TRASLADO A HERRERA;;
317;15/05/2015;19:44;SI;USJ568;VW;GACEL;GRIS;PARTICULAR;S/D;S/D;SUCRETO 27;PIZARRO;S.O.S LUKE;SI;;05/05/2016;11:00;LEYVA;CARRILLO;TRASLADO A HERRERA;;
318;15/05/2015;19:55;SI;UJG140;FORD;FALCON;CELESTE;PARTICULAR;S/D;S/D;ZAPATA 395;GATICA;S.O.S AMARILLA;SI;;;;;;;;
319;27/05/2015;00:15;SI;S/PLACA;PEUGEOT;505;;PARTICULAR;S/D;S/D;CULPINA AL 1000 DE BAJO DE AUTOPISTA RECLAMO RECLAMO 2230;LIETS ;ANSELMO;SI;;28/05/2015;11:30;DOMINGUEZ CACTYT NTN852;MORENO;TRASLADO A HERRERA;;
320;30/05/2015;09:52;SI;ADA493;FORD;ORION;AZUL;PARTICULAR;S/D;S/D;ZABALA 1608;AMADEO ;ARREYES;SI;;04/05/2016;17:00;ESTEFANO;APES;TRASLADO A HERRERA;;
321;01/06/2015;17:40;SI;WXG094;HONDA ;ACCORD;NEGRO;PARTICULAR;S/D;S/D;GRAL.PAZ 1100;HURTADO;RODRIGUEZ LOPEZ;SI;;21/12/2015;17:40;SICA;CARRILLO;TRASLADO A HERRERA;;
322;07/06/2015;10:50;SI;S/PLACA;FIAT;SIENA;QUEMADO-NEGRO;PARTICULAR;S/D;S/D;PORTELA 50;AMADEO;ALAMINO CACTYT;SI;;22/07/2015;12:10;CORNAGO CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
323;10/06/2015;16:22;SI;S/PLACA;;;;PARTICULAR;S/D;S/D;VILLA 20;HURTADO;FUENTES;SI;;11/06/2015;16:00;TAPIA CACTYT;HURTADO;TRASLADO A HERRERA;;
324;14/06/2015;10:59;SI;S/PLACA;PEUGEOT;504;GRIS;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;AMADEO;ALAMINO CACTYT;SI;;22/07/2015;11:30;MAIDANA CACTYT;APES/PLATAS;TRASLADO A HERRERA;;
325;14/06/2015;12:20;SI;RIC938;CHEVROLET;CHEVETIE;;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;ACAQUACALDA;RUBIO;SI;;;;;;;;
326;14/06/2015;12:08;SI;VES087;CHEVROLET;CHEVY;AZUL-OXIDADO;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;AMADEO;ALVISUA HTW327 CACTYT;SI;;05/05/2016;09:15;LEYVA;CARRILLO;TRASLADO A HERRERA;;
327;14/06/2015;12:20;SI;;FORD;SIERRA;BLANCO;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;AMADEO;ALAMINO NTN 852 CACTYT;SI;;24/06/2015;10:48;DE PAOLA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
328;14/06/2015;13:28;SI;S/PLACA;FIAT;FIORINO;BLANCO;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;ACAQUACALDA;ALAMINO ;SI;;20/07/2015;15:20;FUENTES (CACTYT);PIZARRO;TRASLADO A HERRERA;;
329;14/06/2015;14:30;SI;SHO839;FORD ;GALAXY;BORDO;PARTICULAR;S/D;S/D;AGUSTIN DE VEDIA Y RIESTRA;ACAQUACALDA;SICA CACTYT;SI;;11/02/2016;10;DE PAOLA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
330;15/06/2015;10:55;SI;B2352265;RENAULT;9;BLANCO;PARTICULAR;S/D;S/D;USPALLATA Y HORNOS;PLATAS;SICA CACTYT;SI;;;;;;;;
331;15/06/2015;17:15;SI;GOS240;AUDI ;A3;NEGRO;PARTICULAR;S/D;S/D;S/D;HURTADO/GATICA;LENTINO CACTYT;SI;;10/03/2016;12:00;LEYVA;CARRILLO;TRASLADO A HERRERA;;
332;18/06/2015;02:00;SI;VFC605;FORD;SIERRA;ROJO;PARTICULAR;S/D;S/D;ARROYO 400;BERARDI/LIETS/BRAGUE;S.O.S. GODOY (MBW619);SI;;22/09/2015;16:30;S/D;PIZARRO;RETIRA TITULAR;;
333;18/06/2015;17:51;SI;TYN242;SCANIA;112;GRIS;OMNIBUS;S/D;S/D;PEDRO CHUTRO 2928;PIZARRO;METROPOLITANA SOJ 043;SI;;;;;;;;
334;23/06/2015;12:20;SI;JKL077;CHEVROLET;CORSA;TAXI;TAXI;S/D;S/D;TRASLADO DAKOTA;APES-PLATAS-MORENO;LOPEZ VICTOR;SI;;;;;;;;
335;23/06/2015;12:20;SI;SZR966;GMC;CHEVETTE;BLANCO;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES-PLATAS-MORENO;BARRIONUEVO;SI;;19/08/2016;10:58;COMPAC EN PLAYA;CARRILLO;COMPAC EN PLAYA;;
336;23/06/2015;16:15;SI;TIA918;FORD;SIERRA;VERDE;PARTICULAR;S/D;S/D;UGARTE 2194;PIZARRO;S.O.S. MEDINA GRGORIO;SI;;24/06/2015;11:20;DE PAOLA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
337;24/06/2015;10:40;SI;HUY221;RENAULT;CLIO;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES-PLATAS-MORENO;SILVA (DAKOTA);SI;;;;;;;;
338;24/06/2015;12:40;SI;RUC755;RENAULT;18;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES-PLATAS-MORENO;SILVA (DAKOTA);SI;;19/08/2016;11:23;COMPAC. EN PLAYA;VELASCO;COMPAC. EN PLAYA;;
339;24/06/2015;12:43;SI;AMI902;RENAULT;9;BORDO;PARTICULAR;S/D;S/D;FREIRE 2784;APES-PLATAS-MORENO;DOMINGUEZ;SI;;;;;;;;
340;24/06/2015;12:40;SI;DIG428;PEUGEOT;405;VERDE;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES-PLATAS-MORENO;PEREZ (DAKOTA);SI;;19/08/2016;14:15;COMPAC EN PLAYA;HURTADO;COMPAC EN PLAYA;;
341;24/06/2015;17:00;SI;SAT695;RENAULT;18;VERDE;PARTICULAR;S/D;S/D;DORREGO 1591;GATICA;CABRERIZO;SI;;;;;;;;
342;25/06/2015;11:31;SI;VFR983;RENAULT;18;VERDE;PARTICULAR;S/D;S/D;JEAN JAURES 1178;MORENO-PLATAS;GRECO;SI;;;;;;;;
343;25/06/2015;16:00;SI;XCT525;FIAT;FIORINO;BLANCO;FURGON;S/D;S/D;ORTEGA Y SOLDADO DE LA INDEPENDENCIA;GATICA;CABRERIZO;SI;;21/12/2015;11:10;SICA;CARRILLO;TRASLADO A HERRERA;;
344;26/06/2015;12:00;SI;UGD633;FORD;FALCON;VERDE;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;MORENO/PLATAS/APES;SILVA (DAKOTA);SI;;19/08/2016;11:03;COMPAC EN PLAYA;MORENO;COMPAC EN PLAYA;;
345;26/06/2015;12:50;SI;S/PLACA;VW;GOL;NEGRO;PARTICULAR;S/D;S/D;SARASA 462;MORENO/PLATAS/APES;MAIDANA;SI;;28/08/2015;11:47;MAIDANA;CARRILLO/APES;TRASLADADO A HERRERA;;
346;29/06/2015;10:26;SI;S/PLACA;FORD;ESCORT;BORDO;PARTICULAR;S/D;S/D;NICETO VEGA 5918;APES-MORENO-CARRILLO;DOMINGUEZ;SI;;25/08/2015;18:01;FUENTES(CACTYT);HURTADO/PIZARRO;TRASLADADO A HERRERA;;
347;29/06/2015;12:19;SI;SEP810;RENAULT;18;GRIS;PARTICULAR;S/D;S/D;THAMES Y NICETO VEGA;APES-MORENO-CARRILLO;DOMINGUEZ;SI;;;;;;;;
348;29/06/2015;12:34;SI;VPS150;FORD;TAUNUS;ROJO;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES-MORENO-CARRILLO;SILVA (DAKOTA);SI;;19/08/2016;10:48;COMPAC EN PLAYA;VELASCO;COMPAC EN PLAYA;;
349;29/06/2015;18:33;SI;S/PLACA;VW;CADY;BLANCO;PARTICULAR;S/D;S/D;BILAUSTEGUI Y VITASOLA;PIZARRO;TAPIA;SI;;12/08/2015;11:20;DOMINGUEZ (CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
350;30/06/2015;10:50;SI;S/PLACA;;;QUEMADO-OXIDO;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;BARRIONUEVO;SI;OPERATIVO VILLA 11-14;01/07/2015;17:00;SANTOLLI (CACTYT);PIZARRO;TRASLADO A HERRERA;;
351;30/06/2015;11:00;SI;S/PLACA;FORD;FIESTA;NEGRO;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;MAIDANA;SI;OPERATIVO VILLA 11-14;02/07/2015;12:00;DE PAOLA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
352;30/06/2015;11:00;SI;S/PLACA;FORD;ECOSPORT;NEGRO;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;ORTEGA;SI;OPERATIVO VILLA 11-14;02/07/2015;11:15;DE PAOLA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
353;30/06/2015;11:00;SI;SGR619;VW;GOL;GRIS;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;BINETTI;SI;OPERATIVO VILLA 11-14;01/07/2015;16:30;LEIVA (CACYT);PIZARRO;TRASLADO A HERRERA;;
354;30/06/2015;11:00;SI;S/PLACA;;;QUEMADO-OXIDO;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;DE PAOLA;SI;OPERATIVO VILLA 11-14;02/07/2015;12:00;DE PAOLA CACTYT;CARRILLO/APES;TRASLADO A HERRERA;;
355;30/06/2015;11:00;SI;S/PLACA;;;QUEMADO-OXIDO;PARTICULAR;S/D;S/D;PERITO MORENO Y VARELA;APES/CARRILLO/MORENO;DE PAOLA;SI;OPERATIVO VILLA 11-14;02/07/2015;11:12;DE PAOLA CACTYT;CARRILLO;TRASLADO A HERRERA;;
356;30/06/2015;11:47;SI;VHB009;FIAT;UNO;BLANCO;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO/MORENO;ROUSSEAU (BRD);SI;;;;;;;;
357;30/06/2015;12:13;SI;XLD401;FIAT;UNO;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO/MORENO;ORTIZ (BRD);SI;;19/08/2016;15:19;COMPAC EN PLAYA;PIZARRO;COMPAC EN PLAYA;;
358;30/06/2015;12:31;SI;FMH125;CHEVROLET;4X4;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES/CARRILLO/MORENO;BARRIONUEVO (DAKOTA);SI;;19/08/2016;11:35;COMPAC EN PLAYA;RODRIGUEZ;COMPAC EN PLAYA;;
359;30/06/2015;12:41;SI;URU273;FORD;TAUNUS;VERDE;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO/MORENO;ORTIZ (BRD);SI;;;;;;;;
360;30/06/2015;12:42;SI;VKM030;RENAULT;12;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO/MORENO;ROUSSEAU (BRD);SI;;;;;;;;
361;30/06/2015;13:30;SI;UCQ975;FIAT;DUNA;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO/MORENO;ROUSSEAU (BRD);SI;;19/08/2016;14:17;COMPAC EN PLAYA;DISANZO;COMPAC EN PLAYA;;
362;01/07/2015;10:35;SI;S/PLACA;FORD;FALCON;NEGRO;PARTICULAR;S/D;S/D;DARRAGUEIRA 3380;APES/CARRILLO;BARRIONUEVO;SI;;11/08/2015;17:40;CABRERIZO;PIZARRO/HURTADO;TRASLADADO A HERRERA;;
363;01/07/2015;11:38;SI;TCP440;HONDA;ACCORD;BLANCO;PARTICULAR;S/D;S/D;TARIJA 3892;APES/CARRILLO;BARRIONUEVO;SI;;06/06/2016;17:30;MANGO;PIZARRO/HURTADO;TRASLADADO A HERRERA;;
364;01/07/2015;12:00;SI;JPE550;VW;GOL;ROJO;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES/CARRILLO;SILVA (DAKOTA);SI;;;;;;;;
365;02/07/2015;10:38;SI;UTN184;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;BULNES 1400;APES/CARRILLO;DOMINGUEZ;SI;;;;;;;;
366;02/07/2015;13:11;SI;ACK643;PEUGEOT;405;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES/CARRILLO;SILVA (DAKOTA);SI;;;;;;;;
367;03/07/2015;11:33;SI;VPI773;RENAULT;9;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES/CARRILLO;SILVA (DAKOTA);SI;;;;;;;;
368;03/07/2015;18:29;SI;DPB048;RENAULT;MEGANE;GRIS;PARTICULAR;S/D;S/D;BULNES 1743;HURTADO/PIZARRO;LEIVA;SI;;29/12/2015;11:30;TAPIA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
369;04/07/2015;11:30;SI;WGZ997;PEUGEOT;504;BLANCO;PARTICULAR;S/D;S/D;S.BUSTAMANTE 1500;GARCIA TU¥ON ANA;BARROCA;SI;;;;;;;;
370;04/07/2015;13:30;SI;TNM155;FIAT;REGATTA;BORDO;PARTICULAR;S/D;S/D;S.BUSTAMANTE 2265;ACQUACALDA DANIEL;BARROCA;SI;;;;;;;;
371;05/07/2015;09:22;SI;S/PLACA;NISSAN;;BORDO;PARTICULAR;S/D;S/D;GUTIERREZ 2728;AMADEO;ALAMINO CACTYT;SI;;11/08/2015;15:34;CABRERIZO;PIZARRO/HURTADO;TRASLADADO A HERRERA;;
372;05/07/2015;09:25;SI;UCL673;RENAULT;11;AZUL;PARTICULAR;S/D;S/D;GELLY Y OBES 2208;AMADEO;BARROCA;SI;;09/03/2016;15:00;LEYVA;HURTADO;TRASLADADO A HERRERA;;
373;05/07/2015;11:00;SI;VWO886;PEUGEOT;505;AZUL;PARTICULAR;S/D;S/D;PJE DE LOS SIGNOS 4077;GARCIA TU¥ON ANA;BARROCA;SI;;;;;;;;
374;05/07/2015;11:00;SI;BAY952;PEUGEOT;504;NEGRO;PARTICULAR;S/D;S/D;VIBT 1618;ACQUACALDA DANIEL;ALAMINO;SI;;19/08/2016;09:56;COMPAC EN PLAYA;VELASCO;COMPAC EN PLAYA;;
375;05/07/2015;13:02;SI;UDS484;VW;GACEL;AZUL;PARTICULAR;S/D;S/D;RAVIGNANI 1655;GARCIA TU¥ON ANA;ALAMINO;SI;;10/03/2016;12:00;LEIVA;CARRILLO;TRASLADO A HERRERA;;
376;05/07/2015;15:04;SI;SUO261;VW;SENDA;BORDO;PARTICULAR;S/D;S/D;SOLDADO DE LA INDEPENDENCIA 550;AMADEO;BARROCA;SI;;;;;;;;
377;06/07/2015;11:00;SI;RNK728;RENAULT;11;CELESTE;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;PLATAS/APES;PEREZ (DAKOTA);SI;;;;;;;;
378;06/07/2015;11:40;SI;TNL265;FORD;FALCON;GRIS;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;PLATAS/APES;SILVA (DAKOTA);SI;;;;;;;;
379;07/07/2015;11:25;SI;CIF717;RENAULT;EXPRESS;ROJO;PARTICULAR;S/D;S/D;TRASLADO BRD ;PLATAS/APES;ROUSSEAU (BRD);SI;;;;;;;;
380;07/07/2015;12:15;SI;IQP381;CHERRY;TIGGO;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;PLATAS/APES;ROUSSEAU (BRD);SI;;;;;;;;
381;07/07/2015;13:28;SI;SPY988;PEUGEOT;504;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES;ROUSSEAU (BRD);SI;;04/05/2016;15:40;CRISTIAN ESTEFANO;APES;TRASLADO A HERRERA;;
382;07/07/2015;18:05;SI;CDK308;CHEVROLET;ASTRA;BLANCO;PARTICULAR;S/D;S/D;ARIAS 4300 ;PIZARRO;TAPIA;SI;N§ RECLAMO 01367186/14;;;;;;;
383;08/07/2015;08:00;SI;AQB005;V.W;POINTER;BORDO;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES;ROUSSEAU (BRD);SI;BRD;04/05/2016;15:00;JOSE MARTINEZ;APES;TRASLADO A HERRERA;;
384;08/07/2015;08:10;SI;DRF709;CHRYSLER;NEON;AZUL;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES;ROUSSEAU (BRD);SI;BRD;;;;;;;
385;08/07/2015;09:00;SI;SIM961;FIAT;147;BLANCO;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES;ROUSSEAU (BRD);SI;BRD;;;;;;;
386;08/07/2015;9.30;SI;SEU544;HYUNDAI;ACCENT;BORDO;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO;ROUSSEAU (BRD);SI;BRD;;;;;;;
387;08/07/2015;10:21;SI;BPA410;PEUGEOT;105;NEGRO;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO;ROUSSEAU (BRD);SI;BRD;;;;;;;
388;08/07/2015;11:00;SI;CQO559;FORD;MONDEO;GRIS;PARTICULAR;S/D;S/D;TRASLADO BRD ;APES/CARRILLO;ROUSSEAU (BRD);SI;BRD;;;;;;;
389;08/07/2015;11:00;SI;VRC705;DODGE;1500;BLANCO;PARTICULAR;S/D;S/D;LAMAS 1190;APES/CARRILLO;BINETTI;SI;N§RECLAMO 452222/12;21/07/2015;18:15;REMOLQUE FEDERAL URC705;PIZARRO/BERARDI;GUSTAVO EDUARDO(T) 24330078 ;;
390;08/07/2015;11:46;SI;XCL650;RENAULT;;GRIS;PARTICULAR;S/D;S/D;ISABELA CATOLICA 170;APES/CARRILLO;DE PAOLA;SI;N§RECLAMO 1298854/11;;;;;;;
391;08/07/2015;12:00;SI;XJV024;PEUGEOT;504;BLANCO;PARTICULAR;S/D;S/D;VIDAL 3947;APES/CARRILLO;DOMINGUEZ;SI;N§RECLAMO 01007728/14;;;;;;;
392;08/07/2015;12:03;SI;TER890;GMC;CHEVETTE;AZUL;PARTICULAR;S/D;S/D;TRASLADO DAKOTA;APES/CARRILLO;SILVA (DAKOTA);SI;DAKOTA;;;;;;;
393;08/07/2015;15:47;SI;SPU845;RENAULT;21;GRIS;PARTICULAR;S/D;S/D;ROMULO NAON 3746;PIZARRO/HURTADO;TAPIA;SI;N§ RECLAMO 01053214/14;21/08/2015;16:53;RAMIREZ SUSANA (T) GRUA;HURTADO/PIZARRO;RETIRA TITULAR;;
394;08/07/2015;16:55;SI;S/PLACA;V.W;POLO;CELESTE;PARTICULAR;S/D;S/D;VALENTIN  GOMEZ 3076;PIZARRO/HURTADO;LEIVA;SI;N§  RECLAMO 00843465/15;12/08/2015;19:00;ROJAS BALLADARES MANUEL(T)92521438 GRUA EL POLACO TMX345;PIZARRO/HURTADO;RETIRA TITULAR;;
395;08/07/2015;18:30;SI;BSI370;PEUGEOT;;NEGRO;PARTICULAR;S/D;S/D;GALLO 721;PIZARRO/HURTADO;SANTOLI;SI;N§ RECLAMO 00676050/14;29/12/2015;13:15;TAPIA;PLATAS/APES/CARRILLO;TRASLADO A HERRERA;;
396;08/07/2015;18:35;SI;S/PLACA;DODGE;1500;NEGRO;PARTICULAR;S/D;S/D;PAVON 3041;PIZARRO/HURTADO;LEIVA;SI;N§ RECLAMO 00286937/15;05/08/2015;16:08;FUENTES CATYT;PIZARRO/HURTADO;TRASLADO A HERRERA;;
397;10/07/2015;10:09;SI;S/PLACA;FIAT;FIORINO;BLANCO;UTILITARIO;S/D;S/D;AV. CORDOBA Y MEDRANO;CARRILLO/APES;DOMINGUEZ;SI;N§ RECLAMO 1462600/14;04/08/2015;16:10;CABRERIZO CACTYT;PIZARRO/HURTADO;TRASLADO A HERRERA;;
398;10/07/2015;11:08;SI;TAL970;DODGE;1500;GRIS;PARTICULAR;S/D;S/D;PAVON 2262;CARRILLO/APES;CORNAGO;SI;N§ RECLAMO 00264837/15;;;;;;;
399;10/07/2015;12:40;SI;SEI112;PEUGEOT;504;NEGRO/CELESTE;PARTICULAR;S/D;S/D;PAVON 2169;CARRILLO/APES;CORNAGO;SI;N§ RECLAMO 00161882/15;21/12/2015;08:50;SICA;CARRILLO;TRASLADO A HERRERA;;
400;10/07/2015;15:00;SI;UYN612;RENAULT;18;CELESTE;PARTICULAR;S/D;S/D;ALBERDI 5868;PIZARRO;CARLINO;SI;N§ RECLAMO 00212988/13;;;;;;;
401;10/07/2015;18:07;SI;DSM306;DAEWOO;LANOS;AZUL;PARTICULAR;S/D;S/D;ARANGUREN 2443;PIZARRO;TAPIA;SI;N§RECLAMO 00188629/15;11/02/2016;11;SANTOLLI;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
402;10/07/2015;18:00;SI;UDS467;HONDA;ACCORD;NEGRO;PARTICULAR;S/D;S/D;PIRINEO 1300;PIZARRO;SANTOLI;SI;N§ RECLAMO 00193271/15;21/12/2015;12:15;TAPIA CACTYT;CARRILLO;TRASLADO A HERRERA;;
403;10/07/2015;19:20;SI;WJH538;RENAULT;21;GRIS;PARTICULAR;S/D;S/D;LUIS GUZMAN 387;PIZARRO;TAPIA;SI;N§ RECLAMO 00166179/15;;;;;;;
404;13/07/2015;11:27;SI;FEH013;VW;POLO;TAXI;PARTICULAR;S/D;S/D;PAVON 2012;CARRILLO/APES;CORNAGO;SI;N§RECLAMO 00205652/15;;;;;;;
405;13/07/2015;12:35;SI;TDE063;VW;CARAT;BORDO;PARTICULAR;S/D;S/D;PICHINCHA 929;CARRILLO/APES;CORNAGO;SI;N§ RECLAMO 00211240/15;;;;;;;
406;13/07/2015;15:05;SI;WZJ139;FIAT;128;BLANCO;PARTICULAR;S/D;S/D;BUFANO 1600;PIZARRO/HURTADO;FUENTES;SI;N§ RECLAMO 31904/14;;;;;;;
407;13/07/2015;16:30;SI;FMA176;RENAULT;CLIO;GRIS;PARTICULAR;S/D;S/D;PAYSANDU 600;PIZARRO/HURTADO;FUENTES;SI;N§ RECLAMO 184997/13;;;;;;;
408;13/07/2015;17:26;SI;TEJ225;VW;SENDA;GRIS;PARTICULAR;S/D;S/D;DEAN FUNES 195;PIZARRO/HURTADO;ORTIGOZA;SI;N§ RECLAMO 00322536/15;;;;;;;
409;13/07/2015;17:33;SI;VPO554;MITSUBISHI;;GRIS;PARTICULAR;S/D;S/D;ARCOS 3818;PIZARRO/HURTADO;TAPIA;SI;N§ RECLAMO 0007104/15;21/12/2015;10:00;SICA;CARRILLO;TRASLADO A HERRERA;;
410;13/07/2015;19:36;SI;ADD909;CHEVROLET;MONZA;BORDO;PARTICULAR;S/D;S/D;HIDALGO 335;PIZARRO/HURTADO;CARLINO;SI;N§RECLAMO 399122/14;20/07/2015;16:55;GRUA UCB610;PIZARRO;DANIEL MANEN(T) 13184336 ;;
411;14/07/2015;14:20;SI;VJG945;MITSUBISHI;S/D;BLANCO;PARTICULAR;S/D;S/D;HORNOS 830;PIZARRO/HURTADO;CORNAGO;SI;N§RECLAMO 00225066/15;;;;;;;
412;14/07/2015;15:54;SI;C1117576;PEUGEOT;504;BLANCO;PARTICULAR;S/D;S/D;ACASUSO 7000;PIZARRO/HURTADO;FUENTES;SI;N§RECLAMO 392437/13;21/12/2015;17:33;LENTINO;PIZARRO/HURTADO;TRASLADADO A HERRERA;;
413;14/07/2015;16:00;SI;DOW205;FIAT;PALIO;BLANCO;PARTICULAR;S/D;S/D;MANZANARES 4350;PIZARRO/HURTADO;TAPIA;SI;N§RECLAMO 00350960/15;26/05/2016;16:00;ORTELLI;DISANZO;TRASLADADO A HERRERA;;
414;14/07/2015;17:09;SI;VSP385;CHEVROLET;KADETT;NEGRO;PARTICULAR;S/D;S/D;MI¥ONES 1810;PIZARRO/HURTADO;LEIVA;SI;N§RECLAMO 00863734/14;11/02/2016;11:30;MAIDANA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
415;14/07/2015;17:42;SI;ASW546;FIAT;TIPO;NEGRO;PARTICULAR;S/D;S/D;RENAN 1110;PIZARRO/HURTADO;FUENTES;SI;N§RECLAMO 00755152/14;29/12/2015;12:00;TAPIA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
416;14/07/2015;18:00;SI;F393842;PEUGEOT;504;GRIS;PARTICULAR;S/D;S/D;PLAZA 4500;PIZARRO/HURTADO;SANTOLI;SI;N§RECLAMO 00777396/14;;;;;;;
417;14/07/2015;18:55;SI;RKC805;PEUGEOT;504;BORDO;PARTICULAR;S/D;S/D;AGRELO 3294;PIZARRO/HURTADO;CARLINO;SI;N§RECLAMO 00124277/15;09/03/2016;13:00;LEIVA;PLATAS;TRASLADO A HERRERA;;
418;14/07/2015;19:37;SI;VZC014;FIAT;133;NEGRO;PARTICULAR;S/D;S/D;SALCEDO 3537;PIZARRO/HURTADO;LIRIA;SI;N§RECLAMO 00185170/15;;;;;;;
419;14/07/2015;19:45;SI;RPB855;DODGE;1500;VERDE;PARTICULAR;S/D;S/D;CARLOS CALVO 3655;PIZARRO/HURTADO;GUGLIELMO;SI;N§RECLAMO 00135107/15;11/02/2016;11:15;DE PAOLA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
